"","Path","Certification date","City","State","Country","Rating system","Version","Certification level"
"Thomas E. Curtis Wildlife Hospital and E","https://www.usgbc.org/projects/thomas-e-curtis-wildlife-hospital-and-e","","Weymouth","Massachusetts [MA]","United States [us]","New Construction","v2.1",""
"Administaff Offices","https://www.usgbc.org/projects/administaff-offices","","Waltham","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"One Main Financial, Springfield MA","https://www.usgbc.org/projects/one-main-financial-springfield-ma","2 Apr 2008","Springfield","Massachusetts [MA]","United States [us]","Retail - Commercial Interiors","v1.0 pilot","Certified"
"1st Floor Spec Space","https://www.usgbc.org/projects/1st-floor-spec-space","","waltham","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"Timberland - Northshore","https://www.usgbc.org/projects/timberland-northshore","2 Jun 2008","Peabody","Massachusetts [MA]","United States [us]","Retail - Commercial Interiors","v1.0 pilot","Gold"
"Unit Training and Equipment Site (UTES)","https://www.usgbc.org/projects/unit-training-and-equipment-site-utes","","Buzzards Bay","Massachusetts [MA]","United States [us]","New Construction","v2009",""
"Kramer Lab renovation","https://www.usgbc.org/projects/kramer-lab-renovation","24 Jan 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"Conductors Building Restoration","https://www.usgbc.org/projects/conductors-building-restoration","","Cambridge","Massachusetts [MA]","United States [us]","Core and Shell","v2.0",""
"Harvard University- University Informati","https://www.usgbc.org/projects/harvard-university-university-informati","24 Oct 2006","Cambridge","Massachusetts [MA]","United States [us]","New Construction","v2.1","Certified"
"Starwood Element - Lexington","https://www.usgbc.org/projects/starwood-element-lexington","7 Nov 2008","Lexington","Massachusetts [MA]","United States [us]","New Construction","v2.2","Gold"
"100 Binney","https://www.usgbc.org/projects/100-binney","","Cambridge","Massachusetts [MA]","United States [us]","Core and Shell","v2009",""
"Modern Theatre","https://www.usgbc.org/projects/modern-theatre","1 Sep 2011","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.2","Silver"
"Harvard School of Public Health at Landm","https://www.usgbc.org/projects/harvard-school-public-health-landm","2 Dec 2004","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v1.0 pilot","Certified"
"Fay School - New Primary School Project","https://www.usgbc.org/projects/fay-school-new-primary-school-project","","Southborough","Massachusetts [MA]","United States [us]","Schools - New Construction","v2007",""
"Sherman Fairchild Laboratory Alterations","https://www.usgbc.org/projects/sherman-fairchild-laboratory-alterations","20 Mar 2012","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Platinum"
"BOSTON SCIENTIFIC CORPORATION","https://www.usgbc.org/projects/boston-scientific-corporation","17 Jan 2011","QUINCY","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Certified"
"L.L. Bean","https://www.usgbc.org/projects/ll-bean","6 Oct 2008","Burlington","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Certified"
