,Path,Certification date,City,State,Country,Rating system,Version,Certification level
AVA Theater District,https://www.usgbc.org/projects/ava-theater-district,7-Jun-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Silver
C3 Office Hockey,https://www.usgbc.org/projects/c3-office-hockey,16-May-18,Boston,Massachusetts [MA],United States [us],Core and Shell,v2009,Silver
Goodwin Procter - Boston,https://www.usgbc.org/projects/goodwin-procter-boston-0,16-Feb-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
22 Federal St,https://www.usgbc.org/projects/22-federal-st,14-Jul-16,Nantucket,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Thurgood Marshall Middle School,https://www.usgbc.org/projects/thurgood-marshall-middle-school,12-Jan-18,Lynn,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Gold
Life Time Center,https://www.usgbc.org/projects/life-time-center,14-Nov-17,Newton,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
Christa McAuliffe Branch Library,https://www.usgbc.org/projects/christa-mcauliffe-branch-library,8-Mar-17,Framingham,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Boston Convention and Exhibition Center,https://www.usgbc.org/projects/boston-convention-and-exhibition-center,25-May-16,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
130 Brookline Spec Lab,https://www.usgbc.org/projects/130-brookline-spec-lab,14-Nov-15,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Ink Block Sepia,https://www.usgbc.org/projects/ink-block-sepia,31-Oct-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Nichols College Academic Center,https://www.usgbc.org/projects/nichols-college-academic-center,27-Jul-16,Dudley,Massachusetts [MA],United States [us],New Construction,v2009,Gold
131 Beverly,https://www.usgbc.org/projects/131-beverly,30-Aug-17,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Headquarters Building Core/Shell,https://www.usgbc.org/projects/headquarters-building-coreshell,21-Apr-16,Brighton,Massachusetts [MA],United States [us],Core and Shell,v2009,Platinum
MIT Building E52,https://www.usgbc.org/projects/mit-building-e52,6-Jun-17,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Platinum
UMA - Paige Laboratory Renovations,https://www.usgbc.org/projects/uma-paige-laboratory-renovations,17-Feb-17,Amherst,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Brown Brothers Harriman,https://www.usgbc.org/projects/brown-brothers-harriman,7-Mar-16,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
NorthPoint Apartment Tower - Parcel N,https://www.usgbc.org/projects/northpoint-apartment-tower-parcel-n,5-Nov-15,Cambridge,Massachusetts [MA],United States [us],New Construction,v2009,Silver
"Dr. Martin Luther King, Jr. School",https://www.usgbc.org/projects/dr-martin-luther-king-jr-school,16-Jul-18,Cambridge,Massachusetts [MA],United States [us],Schools - New Construction,v2009,Platinum
MassDOT Maintenance Facility Andover,https://www.usgbc.org/projects/massdot-maintenance-facility-andover,16-Sep-15,Andover,Massachusetts [MA],United States [us],New Construction,v2009,Certified
41 Westland Ave,https://www.usgbc.org/projects/41-westland-ave,8-Feb-15,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
First Needham Place,https://www.usgbc.org/projects/first-needham-place,7-Oct-13,Needham,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
Robert W. Healy Public Safety Facility,https://www.usgbc.org/projects/robert-w-healy-public-safety-facility-0,21-Jul-10,Cambridge,Massachusetts [MA],United States [us],New Construction,v2.2,Silver
George N. Parks Minuteman Marching Band,https://www.usgbc.org/projects/george-n-parks-minuteman-marching-band,23-Apr-12,Amherst,Massachusetts [MA],United States [us],New Construction,v2.2,Gold
765 Commonwealth Avenue,https://www.usgbc.org/projects/765-commonwealth-avenue,22-Dec-16,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Boston Properties Offices at Prudential,https://www.usgbc.org/projects/boston-properties-offices-prudential,10-Dec-09,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2.0,Certified
Commons at Southfield Highlands Bldg 3,https://www.usgbc.org/projects/commons-southfield-highlands-bldg-3,1-May-13,Weymouth,Massachusetts [MA],United States [us],New Construction,v2009,Silver
Commons at Southfield Highlands Bldg 2,https://www.usgbc.org/projects/commons-southfield-highlands-bldg-2,1-May-13,Weymouth,Massachusetts [MA],United States [us],New Construction,v2009,Silver
